"Kommune";"Kommunenavn";"Bekræftede tilfælde i alt";"Incidens";"Bekræftede tilfælde i alt de seneste 7 dage";"Incidens de seneste 7 dage";"Antal testede personer";"Testestede pr. 100.000";"Testede de seneste 7 dage";"Testede pr. 100.000 de seneste 7 dage";"Antal borgere"
101;København;392026;60462;368;56,8;667817;102997;3170;488,9;648387
147;Frederiksberg;61537;59079;58;55,7;114658;110078;482;462,7;104161
151;Ballerup;29554;59361;40;80,3;51027;102491;309;620,6;49787
153;Brøndby;22491;61658;13;35,6;36918;101209;180;493,5;36477
155;Dragør;8617;58996;11;75,3;14796;101301;71;486,1;14606
157;Gentofte;42381;57001;33;44,4;77602;104373;348;468,1;74351
159;Gladsaxe;41689;59731;48;68,8;73512;105326;380;544,5;69795
161;Glostrup;14338;60788;24;101,8;24936;105719;130;551,2;23587
163;Herlev;18267;62886;18;62,0;30389;104616;158;543,9;29048
165;Albertslund;17241;62806;23;83,8;28926;105373;151;550,1;27451
167;Hvidovre;34825;65303;52;97,5;56055;105114;406;761,3;53328
169;Høje Tåstrup;32453;59572;41;75,3;55359;101619;428;785,7;54477
173;Lyngby-Taarbæk;32117;55233;24;41,3;60354;103794;239;411,0;58148
175;Rødovre;26028;61514;32;75,6;43486;102775;375;886,3;42312
183;Ishøj;15347;65557;13;55,5;24317;103874;138;589,5;23410
185;Tårnby;26494;61645;32;74,5;43955;102273;313;728,3;42978
187;Vallensbæk;10568;62965;11;65,5;17739;105690;75;446,9;16784
190;Furesø;23864;57030;20;47,8;42391;101305;233;556,8;41845
201;Allerød;15445;59411;22;84,6;26559;102162;190;730,9;25997
210;Fredensborg;23253;55856;31;74,5;42261;101516;254;610,1;41630
217;Helsingør;34405;54333;44;69,5;62891;99319;365;576,4;63322
219;Hillerød;32868;60978;91;168,8;55189;102390;640;1187,4;53901
223;Hørsholm;13685;55239;20;80,7;25690;103697;163;657,9;24774
230;Rudersdal;31973;55959;24;42,0;59424;104004;392;686,1;57136
240;Egedal;26717;59355;33;73,3;45640;101395;246;546,5;45012
250;Frederikssund;24784;53700;35;75,8;45973;99610;332;719,3;46153
253;Greve;31012;60404;39;76,0;51545;100397;316;615,5;51341
259;Køge;35253;56774;89;143,3;61685;99341;525;845,5;62094
260;Halsnæs;16208;51465;37;117,5;31172;98981;360;1143,1;31493
265;Roskilde;51433;56940;70;77,5;91031;100778;600;664,2;90328
269;Solrød;14811;61841;29;121,1;24566;102572;173;722,3;23950
270;Gribskov;21335;51381;34;81,9;41396;99694;373;898,3;41523
306;Odsherred;13663;41433;16;48,5;31307;94939;202;612,6;32976
316;Holbæk;37566;51222;51;69,5;71367;97310;511;696,8;73340
320;Faxe;19210;51666;25;67,2;36608;98459;252;677,8;37181
326;Kalundborg;23483;48344;30;61,8;45899;94491;284;584,7;48575
329;Ringsted;18961;53100;27;75,6;34943;97858;192;537,7;35708
330;Slagelse;43181;54211;82;102,9;77709;97558;684;858,7;79654
336;Stevns;11955;50297;19;79,9;23079;97097;165;694,2;23769
340;Sorø;15002;49607;22;72,7;29624;97956;159;525,8;30242
350;Lejre;15500;53574;31;107,1;29042;100380;203;701,6;28932
360;Lolland;19946;50011;37;92,8;38945;97648;536;1343,9;39883
370;Næstved;45407;53842;107;126,9;82180;97446;772;915,4;84334
376;Guldborgsund;31913;53004;116;192,7;58636;97387;1010;1677,5;60209
390;Vordingborg;21287;46920;35;77,1;43735;96398;398;877,3;45369
400;Bornholm;20690;51999;33;82,9;38825;97577;438;1100,8;39789
410;Middelfart;20591;51563;12;30,0;38839;97258;173;433,2;39934
420;Assens;20090;49044;25;61,0;39536;96516;334;815,4;40963
430;Faaborg-Midtfyn;26751;51398;31;59,6;50478;96985;389;747,4;52047
440;Kerteminde;12565;52361;20;83,3;23870;99471;162;675,1;23997
450;Nyborg;17279;53740;28;87,1;31837;99017;221;687,3;32153
461;Odense;120495;58095;170;82,0;207978;100273;1521;733,3;207412
479;Svendborg;32715;54833;65;108,9;58247;97627;683;1144,8;59663
480;Nordfyn;15534;52157;19;63,8;28914;97082;160;537,2;29783
482;Langeland;5517;44539;11;88,8;11517;92977;76;613,5;12387
492;Ærø;2800;46512;2;33,2;5750;95515;27;448,5;6020
510;Haderslev;29233;52786;24;43,3;53541;96679;229;413,5;55380
530;Billund;14345;53236;8;29,7;26628;98820;64;237,5;26946
540;Sønderborg;39486;53231;62;83,6;71652;96595;433;583,7;74178
550;Tønder;18619;50469;20;54,2;35649;96631;298;807,8;36892
561;Esbjerg;65015;56221;84;72,6;114129;98692;692;598,4;115642
563;Fanø;1532;44704;1;29,2;3435;100233;8;233,4;3427
573;Varde;26152;52430;45;90,2;48284;96800;286;573,4;49880
575;Vejen;22557;52664;11;25,7;41635;97205;268;625,7;42832
580;Aabenraa;32512;55160;47;79,7;57310;97233;478;811,0;58941
607;Fredericia;27743;53482;22;42,4;50953;98225;263;507,0;51874
615;Horsens;53795;55978;71;73,9;92186;95926;502;522,4;96101
621;Kolding;52035;55102;69;73,1;93475;98984;569;602,5;94434
630;Vejle;66441;55182;96;79,7;117688;97745;854;709,3;120403
657;Herning;51999;57870;74;82,4;87829;97745;472;525,3;89855
661;Holstebro;35102;59588;36;61,1;59140;100394;358;607,7;58908
665;Lemvig;10371;53569;3;15,5;18912;97686;42;216,9;19360
671;Struer;11166;53629;10;48,0;20651;99184;73;350,6;20821
706;Syddjurs;21204;48016;15;34,0;42134;95412;165;373,6;44160
707;Norddjurs;17654;47627;19;51,3;34749;93746;123;331,8;37067
710;Favrskov;27327;55521;31;63,0;48399;98334;246;499,8;49219
727;Odder;12339;52395;8;34,0;22809;96854;121;513,8;23550
730;Randers;54846;55068;63;63,3;94802;95186;525;527,1;99597
740;Silkeborg;56289;56787;95;95,8;94947;95787;502;506,4;99123
741;Samsø;1237;32716;0;0,0;3262;86273;39;1031,5;3781
746;Skanderborg;37662;57956;27;41,5;63874;98292;224;344,7;64984
751;Århus;206863;57475;236;65,6;357623;99363;1464;406,8;359916
756;Ikast-Brande;23388;55098;45;106,0;41040;96683;240;565,4;42448
760;Ringkøbing-Skjern;29886;53083;22;39,1;55155;97965;261;463,6;56301
766;Hedensted;26174;55089;29;61,0;46579;98036;203;427,3;47512
773;Morsø;11169;55893;9;45,0;19489;97528;102;510,4;19983
779;Skive;24584;54462;18;39,9;43663;96728;181;401,0;45140
787;Thisted;24193;55823;22;50,8;43091;99428;293;676,1;43339
791;Viborg;55298;56748;75;77,0;94479;96957;598;613,7;97444
810;Brønderslev;21058;57709;21;57,6;36787;100814;164;449,4;36490
813;Frederikshavn;32941;55947;42;71,3;59330;100766;352;597,8;58879
820;Vesthimmerland;20023;55031;15;41,2;36234;99585;286;786,0;36385
825;Læsø;563;31365;0;0,0;1757;97883;8;445,7;1795
840;Rebild;17790;57593;19;61,5;30158;97633;106;343,2;30889
846;Mariagerfjord;23311;55719;43;102,8;40492;96785;293;700,3;41837
849;Jammerbugt;21012;54763;20;52,1;38506;100357;248;646,4;38369
851;Aalborg;129429;58236;155;69,7;219660;98835;1575;708,7;222249
860;Hjørring;36910;57712;34;53,2;64526;100891;411;642,6;63956
