"Region";"Alders gruppe";"Indlæggelser"
;;1
;0-9;41
Hovedstaden;0-9;1531
Midtjylland;0-9;496
Nordjylland;0-9;262
Sjælland;0-9;534
Syddanmark;0-9;420
;10-19;9
Hovedstaden;10-19;771
Midtjylland;10-19;237
Nordjylland;10-19;142
Sjælland;10-19;313
Syddanmark;10-19;245
;20-29;82
Hovedstaden;20-29;1992
Midtjylland;20-29;757
Nordjylland;20-29;354
Sjælland;20-29;726
Syddanmark;20-29;691
;30-39;116
Hovedstaden;30-39;2652
Midtjylland;30-39;920
Nordjylland;30-39;395
Sjælland;30-39;886
Syddanmark;30-39;793
;40-49;115
Hovedstaden;40-49;2364
Midtjylland;40-49;869
Nordjylland;40-49;387
Sjælland;40-49;914
Syddanmark;40-49;767
;50-59;138
Hovedstaden;50-59;2961
Midtjylland;50-59;1262
Nordjylland;50-59;552
Sjælland;50-59;1289
Syddanmark;50-59;1151
;60-69;99
Hovedstaden;60-69;3224
Midtjylland;60-69;1437
Nordjylland;60-69;814
Sjælland;60-69;1572
Syddanmark;60-69;1519
;70-79;63
Hovedstaden;70-79;5054
Midtjylland;70-79;2097
Nordjylland;70-79;1304
Sjælland;70-79;2541
Syddanmark;70-79;2346
;80-89;40
Hovedstaden;80-89;4288
Midtjylland;80-89;1753
Nordjylland;80-89;1140
Sjælland;80-89;1986
Syddanmark;80-89;2153
;90+;3
Hovedstaden;90+;1317
Midtjylland;90+;471
Nordjylland;90+;261
Sjælland;90+;554
Syddanmark;90+;574
