"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde"
;;53;0
;0-9;612;1
Hovedstaden;0-9;117500;1
Midtjylland;0-9;78972;1
Nordjylland;0-9;33890;0
Sjælland;0-9;44221;0
Syddanmark;0-9;72841;0
;10-19;904;0
Hovedstaden;10-19;163894;0
Midtjylland;10-19;125154;0
Nordjylland;10-19;54150;4
Sjælland;10-19;75099;0
Syddanmark;10-19;110673;0
;20-29;3576;3
Hovedstaden;20-29;195079;9
Midtjylland;20-29;119415;1
Nordjylland;20-29;51121;1
Sjælland;20-29;51806;1
Syddanmark;20-29;89074;10
;30-39;4116;2
Hovedstaden;30-39;181240;9
Midtjylland;30-39;108040;3
Nordjylland;30-39;45492;2
Sjælland;30-39;60198;5
Syddanmark;30-39;91278;4
;40-49;3546;6
Hovedstaden;40-49;166941;25
Midtjylland;40-49;107304;13
Nordjylland;40-49;45910;6
Sjælland;40-49;68557;20
Syddanmark;40-49;95040;16
;50-59;2466;6
Hovedstaden;50-59;135514;88
Midtjylland;50-59;95736;30
Nordjylland;50-59;44305;20
Sjælland;50-59;66746;42
Syddanmark;50-59;90983;40
;60-69;1011;7
Hovedstaden;60-69;78676;259
Midtjylland;60-69;65753;87
Nordjylland;60-69;32548;79
Sjælland;60-69;43077;121
Syddanmark;60-69;62449;127
;70-79;359;6
Hovedstaden;70-79;49126;755
Midtjylland;70-79;40792;287
Nordjylland;70-79;21706;200
Sjælland;70-79;28568;345
Syddanmark;70-79;40493;323
;80-89;118;10
Hovedstaden;80-89;18484;1072
Midtjylland;80-89;13253;456
Nordjylland;80-89;7727;273
Sjælland;80-89;9456;442
Syddanmark;80-89;14302;555
;90+;39;4
Hovedstaden;90+;4746;666
Midtjylland;90+;2765;268
Nordjylland;90+;1550;190
Sjælland;90+;1855;240
Syddanmark;90+;2874;311
