"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;;53;0;0;1;14/11/2022
;0-9;612;1;0;41;14/11/2022
Hovedstaden;0-9;117500;1;2;1531;14/11/2022
Midtjylland;0-9;78972;1;2;496;14/11/2022
Nordjylland;0-9;33890;0;0;262;14/11/2022
Sjælland;0-9;44221;0;0;534;14/11/2022
Syddanmark;0-9;72841;0;1;420;14/11/2022
;10-19;904;0;0;9;14/11/2022
Hovedstaden;10-19;163894;0;6;771;14/11/2022
Midtjylland;10-19;125154;0;0;237;14/11/2022
Nordjylland;10-19;54150;4;1;142;14/11/2022
Sjælland;10-19;75099;0;1;313;14/11/2022
Syddanmark;10-19;110673;0;0;245;14/11/2022
;20-29;3576;3;0;82;14/11/2022
Hovedstaden;20-29;195079;9;4;1992;14/11/2022
Midtjylland;20-29;119415;1;1;757;14/11/2022
Nordjylland;20-29;51121;1;1;354;14/11/2022
Sjælland;20-29;51806;1;4;726;14/11/2022
Syddanmark;20-29;89074;10;1;691;14/11/2022
;30-39;4116;2;0;116;14/11/2022
Hovedstaden;30-39;181240;9;10;2652;14/11/2022
Midtjylland;30-39;108040;3;1;920;14/11/2022
Nordjylland;30-39;45492;2;0;395;14/11/2022
Sjælland;30-39;60198;5;6;886;14/11/2022
Syddanmark;30-39;91278;4;2;793;14/11/2022
;40-49;3546;6;0;115;14/11/2022
Hovedstaden;40-49;166941;25;12;2364;14/11/2022
Midtjylland;40-49;107304;13;1;869;14/11/2022
Nordjylland;40-49;45910;6;2;387;14/11/2022
Sjælland;40-49;68557;20;2;914;14/11/2022
Syddanmark;40-49;95040;16;6;767;14/11/2022
;50-59;2466;6;0;138;14/11/2022
Hovedstaden;50-59;135514;88;10;2961;14/11/2022
Midtjylland;50-59;95736;30;4;1262;14/11/2022
Nordjylland;50-59;44305;20;3;552;14/11/2022
Sjælland;50-59;66746;42;10;1289;14/11/2022
Syddanmark;50-59;90983;40;13;1151;14/11/2022
;60-69;1011;7;0;99;14/11/2022
Hovedstaden;60-69;78676;259;10;3224;14/11/2022
Midtjylland;60-69;65753;87;7;1437;14/11/2022
Nordjylland;60-69;32548;79;8;814;14/11/2022
Sjælland;60-69;43077;121;14;1572;14/11/2022
Syddanmark;60-69;62449;127;6;1519;14/11/2022
;70-79;359;6;0;63;14/11/2022
Hovedstaden;70-79;49126;755;31;5054;14/11/2022
Midtjylland;70-79;40792;287;5;2097;14/11/2022
Nordjylland;70-79;21706;200;11;1304;14/11/2022
Sjælland;70-79;28568;345;21;2541;14/11/2022
Syddanmark;70-79;40493;323;14;2346;14/11/2022
;80-89;118;10;0;40;14/11/2022
Hovedstaden;80-89;18484;1072;18;4288;14/11/2022
Midtjylland;80-89;13253;456;2;1753;14/11/2022
Nordjylland;80-89;7727;273;12;1140;14/11/2022
Sjælland;80-89;9456;442;21;1986;14/11/2022
Syddanmark;80-89;14302;555;15;2153;14/11/2022
;90+;39;4;0;3;14/11/2022
Hovedstaden;90+;4746;666;5;1317;14/11/2022
Midtjylland;90+;2765;268;2;471;14/11/2022
Nordjylland;90+;1550;190;2;261;14/11/2022
Sjælland;90+;1855;240;5;554;14/11/2022
Syddanmark;90+;2874;311;2;574;14/11/2022
