"Region";"Aldersgruppe";"Indlæggelser"
;.;1
;00-02;36
Hovedstaden;00-02;1140
Midtjylland;00-02;369
Nordjylland;00-02;203
Sjælland;00-02;379
Syddanmark;00-02;305
;03-05;1
Hovedstaden;03-05;197
Midtjylland;03-05;69
Nordjylland;03-05;32
Sjælland;03-05;83
Syddanmark;03-05;61
;06-11;4
Hovedstaden;06-11;300
Midtjylland;06-11;87
Nordjylland;06-11;45
Sjælland;06-11;117
Syddanmark;06-11;88
;12-15;1
Hovedstaden;12-15;259
Midtjylland;12-15;76
Nordjylland;12-15;50
Sjælland;12-15;111
Syddanmark;12-15;92
;16-19;8
Hovedstaden;16-19;406
Midtjylland;16-19;132
Nordjylland;16-19;74
Sjælland;16-19;157
Syddanmark;16-19;119
;20-39;198
Hovedstaden;20-39;4644
Midtjylland;20-39;1677
Nordjylland;20-39;749
Sjælland;20-39;1612
Syddanmark;20-39;1484
;40-64;303
Hovedstaden;40-64;6908
Midtjylland;40-64;2805
Nordjylland;40-64;1331
Sjælland;40-64;2945
Syddanmark;40-64;2598
;65-79;112
Hovedstaden;65-79;6695
Midtjylland;65-79;2860
Nordjylland;65-79;1726
Sjælland;65-79;3371
Syddanmark;65-79;3185
;80+;43
Hovedstaden;80+;5605
Midtjylland;80+;2224
Nordjylland;80+;1401
Sjælland;80+;2540
Syddanmark;80+;2727
